mdate,phase
01.08.2019,New
15.08.2019,Full
30.08.2019,New
13.09.2019,Full
28.09.2019,New
13.10.2019,Full
28.10.2019,New
12.11.2019,Full
26.11.2019,New
11.12.2019,Full
26.12.2019,New
10.01.2020,Full
24.01.2020,New
09.02.2020,Full
23.02.2020,New
09.03.2020,Full
23.03.2020,New
08.04.2020,Full
22.04.2020,New
07.05.2020,Full
22.05.2020,New
05.06.2020,Full
20.06.2020,New
05.07.2020,Full
20.07.2020,New
03.08.2020,Full
18.08.2020,New
02.09.2020,Full
17.09.2020,New
01.10.2020,Full
16.10.2020,New
31.10.2020,Full
14.11.2020,New
30.11.2020,Full
14.12.2020,New
30.12.2020,Full
